OBJECTID,FID_1,PROJECT_ID,GRP_CODE,PRJ_NAME,PRJ_DESC,START_DATE,END_DATE,contact_di,EMAIL,Mileage,F_STRT_NM,F_CRSST_NM,T_ST_NM,T_CRST_NM,START_X,START_Y,MID_X,MID_Y,END_X,END_Y,Shape__Len,Shape__Length
1,1,D1CA-2312-03,SNOW-CA,SNOW - IVORY AVE,Snow Route - City Maintained,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.365563272,Ivory Ave,Perrysville Ave,Ivory Ave,Nelson Run Rd,-80.02028,40.4982,-80.01740774,40.49695535,-80.01427,40.49655,0.006587169,0.006587169
2,2,D1CA-2348-00,SNOW-CA,SNOW - NELSON RUN ROAD,Snow Route - City Maintained,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.129085026,Nelson Run Rd,Ivory Ave,Nelson Run Rd,McKnight Rd (underpass),-80.01427,40.49655,-80.01357594,40.49732042,-80.01288,40.49809,0.002075321,0.002075321
3,3,D1MA-2304-00,SNOW-MA,SNOW - VILSACK RD (Shaler),Snow Route - Municipal Agreement,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.254047619,Vilsack Rd,Thompson Run Rd,Vilsack Rd,Mount Royal Blvd,-79.98827,40.52692,-79.97877419,40.53193419,-79.97053,40.53569,0.021959516,0.021959515
4,4,D2R1-6242-02,SNOW-D2R1,SNOW - PAINTERS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,1.453105106,Painters Run Rd,Bower Hill Rd,Painters Run Rd,Cedar Blvd,-80.06411,40.36175,-80.07581469,40.35919184,-80.08692,40.36406,0.025810387,0.025810387
5,5,D2R1-6242-04,SNOW-D2R1,SNOW - OLD PAINTERS RUN RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.054958999,Old Painters Run Rd,Dead End,Old Painters Run Rd,Painters Run Rd,-80.07378871,40.35914564,-80.07426399,40.35926347,-80.07475323,40.35915653,0.001011567,0.001011567
6,6,D2R1-6318-01,SNOW-D2R1,SNOW - VANADIUM RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.237963499,Vanadium Rd,Washington Pike,Vanadium Rd,Montgomery Ave (CC17),-80.10081,40.37023,-80.0987024,40.36996333,-80.09685843,40.37096372,0.004300748,0.004300748
7,7,D2R1-6318-02,SNOW-D2R1,SNOW - MONTGOMERY AVE,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.289319874,Montgomery Ave,Vanadium Rd (CC17),Montgomery Rd,Vanadium Rd (RR Tunnel),-80.09685843,40.37096372,-80.09572559,40.372853,-80.09475,40.37483,0.004409738,0.004409738
8,8,D2R1-6318-03,SNOW-D2R1,SNOW - VANADIUM RD,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.733774635,Vanadium Rd,Montgomery Ave (RR Tunnel),Vanadium Rd,Bower Hill Rd,-80.09475,40.37483,-80.0893228,40.37191351,-80.08413,40.36829,0.012666149,0.012666149
9,9,D2R1-6318-04,SNOW-D2R1,SNOW - GREEN COMMONS DRIVE,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.322322293,Green Commons Dr,Kane Blvd,Green Commons Dr,Vanadium Rd,-80.08775,40.37529,-80.08828865,40.37334721,-80.08836,40.37123,0.005030487,0.005030487
10,10,D2R1-CC06,SNOW-D2R1,SNOW - 3RD ST BR,Snow Route - District,11/1/17 0:00,3/31/18 23:59,Catherine Trexler,catherine.trexler@alleghenycounty.us,0.036499454,Carothers Ave,Water St,Carothers Ave,Creek St,-80.08876585,40.4024536,-80.08862898,40.40221192,-80.08850414,40.40196441,0.000555494,0.000555495
