id,average_daily_car_traffic,speed_limit,max_speed,median_speed,percent_over_limit,speed85_percent,speed95_percent,longitude,latitude,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone
144345379,16729,25,,30,86,35,38,-79.89667461,40.43681375,Regent Square,5,14,42003141000,3,14,4,16-Feb
2140403077,16711,25,,34,90,41,45,-79.98250998,40.45106102,Strip District,7,2,42003020300,6,2,2,3-Feb
983997146,15000,35,,29,,35,39,-79.94134444,40.45609443,Bloomfield,7,8,42003080400,2,8,5,1-Mar
1949792833,13788,25,,38,98,45,50,-79.87884462,40.45609866,East Hills,9,13,42003130600,2,13,5,17-Mar
1419330323,12335,25,,31,87,36,39,-79.89620029,40.4444114,Point Breeze,9,14,42003140600,3,14,4,14-Mar
115502120,11500,25,,37,98,41,44,-80.05240317,40.45192582,Crafton Heights,2,20,42003281400,5,20,6,16-Jan
1159852619,10350,25,,29,78,34,39,-80.00193738,40.4478489,North Shore,1,22,42003563200,6,22,1,20-Jan
1204353487,9709,25,,29,79,34,36,-80.01587315,40.40252762,Brookline,4,19,42003191700,5,19,6,26-Apr
454488789,9600,35,,33,32,38,41,-80.05070591,40.43335152,Westwood,2,28,42003563100,5,28,6,18-Jan
1345473232,9546,25,59,28,68,31,34,-79.92779001,40.43688097,Squirrel Hill South,5,14,42003141300,3,14,4,21-Feb
1181317290,9435,25,,29,79,34,38,-79.9269309,40.47015706,East Liberty,9,11,42003111300,2,11,5,8-Mar
1768576138,9405,25,,39,98,45,50,-80.02854943,40.45486521,Manchester,6,21,42003210700,1,21,1,8-Jan
2105934554,9075,25,,32,91,37,40,-80.00697132,40.42044846,Mount Washington,2,19,42003191500,5,19,3,16-Apr
1463283046,8911,,,27,,33,37,-79.93166971,40.45903735,East Liberty,7,8,42003111500,2,8,5,23-Mar
137432711,8512,25,30,26,52,31,35,-79.91439666,40.46062267,Larimer,9,12,42003120800,2,12,5,10-Mar
1466903750,8407,25,77,32,97,36,39,-79.92819,40.46931,East Liberty,9,11,42003111300,2,11,5,4-Mar
1778941167,8243,25,,31,92,36,39,-79.98340694,40.42169397,South Side Slopes,3,17,42003170600,3,17,3,3-Apr
919072428,7700,25,,32,81,37,40,-79.91802458,40.46058382,East Liberty,9,12,42003111500,2,12,5,10-Mar
