GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription,Estimate; Total: - With an Internet subscription - Broadband of any type,Margin of Error; Total: - With an Internet subscription - Broadband of any type,Estimate; Total: - With an Internet subscription - Cellular data plan,Margin of Error; Total: - With an Internet subscription - Cellular data plan,Estimate; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL","Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription,Estimate; Total: - With an Internet subscription - Other service with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Other service with no other type of Internet subscription,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
1400000US42001030101,42001030101,"Census Tract 301.01, Adams County, Pennsylvania",979,61,832,65,39,36,793,75,439,66,79,36,653,76,302,59,78,29,10,8,14,12,31,25,116,52
1400000US42001030102,42001030102,"Census Tract 301.02, Adams County, Pennsylvania",2135,123,1875,134,34,40,1841,135,1064,167,184,87,1558,168,745,150,76,63,19,32,0,15,76,51,184,101
1400000US42001030200,42001030200,"Census Tract 302, Adams County, Pennsylvania",1927,94,1394,110,52,24,1342,108,703,87,93,32,1139,106,572,94,101,38,47,21,5,7,15,14,518,79
1400000US42001030300,42001030300,"Census Tract 303, Adams County, Pennsylvania",1512,101,1106,113,30,22,1076,112,616,121,35,32,974,110,419,89,71,39,11,15,0,10,23,20,383,111
1400000US42001030400,42001030400,"Census Tract 304, Adams County, Pennsylvania",2298,162,1849,190,35,39,1814,183,1035,179,57,47,1616,171,680,161,88,65,43,51,23,37,81,81,368,134
1400000US42001030500,42001030500,"Census Tract 305, Adams County, Pennsylvania",1454,70,1038,68,16,12,1022,69,567,56,70,29,902,70,417,72,77,27,10,11,6,8,70,36,346,66
1400000US42001030600,42001030600,"Census Tract 306, Adams County, Pennsylvania",1726,137,1289,111,25,23,1264,105,707,124,126,67,1114,109,532,102,41,30,8,13,0,10,35,28,402,100
1400000US42001030700,42001030700,"Census Tract 307, Adams County, Pennsylvania",2635,283,2141,230,19,23,2122,231,1417,208,202,124,1869,211,621,128,253,68,28,29,0,15,68,47,426,129
1400000US42001030800,42001030800,"Census Tract 308, Adams County, Pennsylvania",2876,120,2280,111,34,22,2246,113,1294,123,238,67,1913,106,889,101,131,33,28,13,5,7,48,18,548,68
1400000US42001030900,42001030900,"Census Tract 309, Adams County, Pennsylvania",2909,159,2002,200,88,55,1914,189,1227,159,156,76,1616,169,648,141,153,76,33,36,0,15,119,62,788,157
1400000US42001031000,42001031000,"Census Tract 310, Adams County, Pennsylvania",661,45,540,53,3,7,537,51,391,48,46,31,480,56,143,39,16,18,3,6,0,10,7,10,114,31
1400000US42001031101,42001031101,"Census Tract 311.01, Adams County, Pennsylvania",2318,144,1650,166,17,29,1633,169,1045,201,174,108,1400,149,556,159,63,52,0,15,0,15,33,31,635,160
1400000US42001031102,42001031102,"Census Tract 311.02, Adams County, Pennsylvania",1306,67,1099,85,18,20,1081,86,756,108,57,34,989,96,288,84,49,35,20,23,0,10,64,38,143,60
1400000US42001031201,42001031201,"Census Tract 312.01, Adams County, Pennsylvania",1534,91,1292,89,34,25,1258,86,742,106,51,32,1166,91,477,97,84,45,9,15,0,10,34,34,208,75
1400000US42001031202,42001031202,"Census Tract 312.02, Adams County, Pennsylvania",1008,54,804,47,0,10,804,47,522,54,41,26,749,48,240,46,56,27,4,6,0,10,21,16,183,48
1400000US42001031203,42001031203,"Census Tract 312.03, Adams County, Pennsylvania",1199,50,1018,53,21,18,997,52,573,67,65,37,916,64,407,64,42,21,7,9,0,10,19,16,162,41
1400000US42001031300,42001031300,"Census Tract 313, Adams County, Pennsylvania",1843,99,1395,119,19,22,1376,117,1030,129,207,97,1088,129,320,76,100,52,26,23,0,10,73,53,375,104
