GEO.id2,total_households,total_households_no_internet
42001030101,979,116
42001030102,2135,184
42001030200,1927,518
42001030300,1512,383
42001030400,2298,368
42001030500,1454,346
42001030600,1726,402
42001030700,2635,426
42001030800,2876,548
42001030900,2909,788
42001031000,661,114
42001031101,2318,635
42001031102,1306,143
42001031201,1534,208
42001031202,1008,183
42001031203,1199,162
42001031300,1843,375
42001031401,1641,244
42001031402,840,173
42001031501,527,138
42001031502,1758,532
42001031600,2703,238
42001031700,1029,257
42003010300,291,46
42003020100,2370,227
42003020300,641,35
42003030500,1096,463
42003040200,629,179
42003040400,1197,105
42003040500,1132,49
42003040600,892,129
42003040900,1288,185
42003050100,996,457
42003050600,906,299
42003050900,790,323
42003051000,724,190
42003051100,82,44
42003060300,1246,179
42003060500,716,167
42003070300,1139,53
42003070500,1789,83
42003070600,1263,64
42003070800,1068,91
42003070900,2470,210
42003080200,871,222
42003080400,805,103
42003080600,1082,112
42003080700,1138,105
42003080900,989,122
42003090100,1041,241
42003090200,1326,262
42003090300,882,215
42003100500,910,213
42003101100,1303,169
42003101400,1503,303
42003101600,398,74
42003101700,639,156
42003101800,1185,121
42003110200,1996,344
42003110600,1098,139
42003111300,1350,235
42003111400,596,168
42003111500,1788,436
42003120300,733,181
42003120400,363,186
42003120700,407,196
42003120800,235,116
42003130100,777,327
42003130200,491,122
42003130300,619,269
42003130400,430,214
42003130600,1419,479
42003140100,899,43
42003140200,1041,25
42003140300,1489,80
42003140400,979,36
42003140500,1044,142
42003140600,1466,78
42003140800,1954,150
42003141000,454,52
42003141100,602,116
42003141300,2508,307
42003141400,2517,362
42003151600,1141,254
42003151700,2442,355
42003160800,1318,198
42003160900,1692,271
42003170200,1951,364
42003170600,869,124
42003180300,951,354
42003180700,987,190
42003190300,1009,148
42003191100,1238,211
42003191400,1403,205
42003191500,969,181
42003191600,1901,333
42003191700,1524,215
42003191800,2242,264
42003191900,940,185
42003192000,1580,319
42003202200,1156,173
42003202300,1909,279
42003210700,1129,248
42003220600,971,231
42003240600,1151,192
42003241200,394,127
42003250300,570,54
42003250700,303,124
42003250900,603,205
42003260200,914,198
42003260700,738,117
42003260900,560,236
42003261200,505,88
42003261400,984,304
42003261500,745,292
42003262000,1208,362
42003270100,993,116
42003270300,859,293
42003270400,449,49
42003270800,1112,253
42003271500,1007,265
42003281400,1082,252
42003281500,674,120
42003290100,907,123
42003290200,1778,372
42003290400,1863,421
42003300100,1382,313
42003310200,1479,409
42003310300,397,78
42003320400,814,156
42003320600,1015,192
